,lat/long,woeid,date,weather,temperature,wind_speed,humidity
0,"51.5548885,-0.108438",44418,2019/12/29,Light Cloud,7.335,4.667820999939023,83
1,"53.4308294,-2.96083",26734,2019/12/29,Heavy Cloud,7.96,7.458090626310347,89
2,"53.48313810000001,-2.2003953",28218,2019/12/29,Heavy Cloud,6.164999999999999,4.484735869347014,84
3,"50.8615651,-0.0837163",13911,2019/12/28,Heavy Cloud,8.75,5.568397540974044,90
4,"40.86502369999999,-73.89777269999999",2459115,2019/12/28,Heavy Cloud,7.09,4.056700021442774,69
5,"37.8416782,-122.1055344",2463583,2019/12/28,Clear,13.88,1.8378227153424005,62
6,"51.6499059,-0.401525",44418,2019/12/28,Heavy Cloud,8.74,3.3520073632784535,87
7,"52.6221535,1.3093062",30704,2019/12/28,Heavy Cloud,8.290000000000001,5.975137783888756,89
8,"51.5387095,-0.0166037",44418,2019/12/28,Heavy Cloud,8.74,3.3520073632784535,87
9,"53.7886839,-2.2303478",13527,2019/12/28,Heavy Cloud,8.61,3.110742899538694,88
10,"52.5902362,-2.1304288",40859,2019/12/27,Heavy Cloud,7.15,3.7308430764336276,96
11,"51.6042856,-0.06638129999999999",44418,2019/12/26,Heavy Rain,9.120000000000001,7.287731757456455,85
12,"41.8897519,-87.98895429999999",2379574,2019/12/26,Heavy Cloud,10.275,5.8307335643574865,77
13,"36.1621099,-95.87412789999999",2464592,2019/12/26,Showers,14.67,5.594700723630001,62
14,"51.481663,-0.1909565",44418,2019/12/26,Heavy Rain,9.120000000000001,7.287731757456455,85
15,"51.39797429999999,-0.0860576",44418,2019/12/26,Heavy Rain,9.120000000000001,7.287731757456455,85
16,"53.438787,-2.9663193",26734,2019/12/26,Heavy Rain,5.54,7.535833947875076,93
17,"53.3699684,-1.4699284",34503,2019/12/26,Light Rain,5.275,5.818190582655956,93
18,"53.4630589,-2.2913401",33887,2019/12/26,Showers,4.34,4.376528672552295,93
19,"52.6203662,-1.1421895",26062,2019/12/26,Showers,5.645,6.58204765979745,95
20,"51.6499059,-0.401525",44418,2019/12/22,Heavy Cloud,7.885,7.006488343100294,80
21,"51.6042856,-0.06638129999999999",44418,2019/12/22,Heavy Cloud,7.885,7.006488343100294,80
22,"53.438787,-2.9663193",26734,2019/12/21,Light Rain,6.859999999999999,7.384384099538694,90
23,"41.8897519,-87.98895429999999",2379574,2019/12/21,Clear,8.24,7.640281632564491,71
24,"36.1621099,-95.87412789999999",2464592,2019/12/21,Light Cloud,9.524999999999999,3.3886459945783294,69
25,"50.8615651,-0.0837163",13911,2019/12/21,Light Rain,9.37,12.802463873199185,90
26,"40.86502369999999,-73.89777269999999",2459115,2019/12/21,Light Cloud,3.02,3.7888423181765165,66
27,"52.6221535,1.3093062",30704,2019/12/21,Showers,8.844999999999999,8.673049558196135,87
28,"53.48313810000001,-2.2003953",28218,2019/12/21,Showers,3.1550000000000002,3.3480704199634133,84
29,"51.39797429999999,-0.0860576",44418,2019/12/16,Light Rain,7.855,3.9856808837959647,86
30,"53.4630589,-2.2913401",33887,2019/12/15,Showers,-2.95,7.143236498846735,73
31,"52.5902362,-2.1304288",40859,2019/12/15,Heavy Rain,4.54,9.473968424401495,81
32,"51.5548885,-0.108438",44418,2019/12/15,Showers,8.39,9.509986315928312,73
33,"53.4308294,-2.96083",26734,2019/12/14,Light Rain,4.555,15.939120171412286,85
34,"53.7886839,-2.2303478",13527,2019/12/14,Thunder,3.4699999999999998,10.906089354529547,80
35,"51.481663,-0.1909565",44418,2019/12/14,Light Rain,8.155000000000001,12.068415436138286,71
36,"52.6203662,-1.1421895",26062,2019/12/14,Light Rain,5.449999999999999,11.857096246427531,84
37,"53.3699684,-1.4699284",34503,2019/12/14,Heavy Rain,3.835,12.178166900278372,83
38,"37.8416782,-122.1055344",2463583,2019/12/14,Heavy Cloud,13.63,6.482702219040801,71
39,"51.5387095,-0.0166037",44418,2019/12/9,Heavy Cloud,5.99,10.862300841620934,62
40,"41.8897519,-87.98895429999999",2379574,2019/12/8,Heavy Cloud,8.375,8.41297730409873,86
41,"40.86502369999999,-73.89777269999999",2459115,2019/12/8,Showers,8.43,5.597399893809485,74
42,"52.6221535,1.3093062",30704,2019/12/8,Heavy Cloud,7.9799999999999995,15.29567883478353,73
43,"50.8615651,-0.0837163",13911,2019/12/8,Heavy Rain,9.219999999999999,20.745592417500465,77
44,"53.438787,-2.9663193",26734,2019/12/7,Light Rain,10.125,9.434509299970838,84
45,"36.1621099,-95.87412789999999",2464592,2019/12/7,Heavy Cloud,15.135,7.45618058949601,59
46,"51.6042856,-0.06638129999999999",44418,2019/12/7,Heavy Cloud,10.325,7.585504871412286,82
